Leokadiusz Kurcz
Iwon Kruczek
Korneliusz Trela
Juliusz Cyrankiewicz
Józefat Ulanski
Świętosław Dembski
Tymon Bernatowicz
Justyn Cukier
Medard Schatkowsky
Żelisław Dolecki
Eryk Olexa
Lesław Polak
Eliasz Grab
Krystyn Balinski
Wandelin Zielonka
Wojsław Krolczyk
Godzisław Ochocki
Pabian Holewinski
Witołd Rzucidlo
Aleksy Czerwinski
Edward Zarzycki
Wiktor Benik
Horacy Kret
Niecisław Bednarz
Albert Baca
Bogumił Koziara
Aleksy Miga
Włodzimierz Matusik
Donat Lada
Dymitr Figurski
Zdzisław Badowski
Kwiatosław Woida
Florian Krochmal
Metody Doktor
Eliasz Kordus
Bogumir Boguslawski
Czesław Kubinski
Bartłomiej Olenski
Jan Les
Karol Fedor
